species,bill_depth_mm,flipper_length_mm
Adelie,18.7,181
Adelie,17.4,186
Adelie,18,195
Adelie,19.3,193
Adelie,20.6,190
Adelie,17.8,181
Adelie,19.6,195
Adelie,18.1,193
Adelie,20.2,190
Adelie,17.1,186
Adelie,17.3,180
Adelie,17.6,182
Adelie,21.2,191
Adelie,21.1,198
Adelie,17.8,185
Adelie,19,195
Adelie,20.7,197
Adelie,18.4,184
Adelie,21.5,194
Adelie,18.3,174
Adelie,18.7,180
Adelie,19.2,189
Adelie,18.1,185
Adelie,17.2,180
Adelie,18.9,187
Adelie,18.6,183
Adelie,17.9,187
Adelie,18.6,172
Adelie,18.9,180
Adelie,16.7,178
Adelie,18.1,178
Adelie,17.8,188
Adelie,18.9,184
Adelie,17,195
Adelie,21.1,196
Adelie,20,190
Adelie,18.5,180
Adelie,19.3,181
Adelie,19.1,184
Adelie,18,182
Adelie,18.4,195
Adelie,18.5,186
Adelie,19.7,196
Adelie,16.9,185
Adelie,18.8,190
Adelie,19,182
Adelie,18.9,179
Adelie,17.9,190
Adelie,21.2,191
Adelie,17.7,186
Adelie,18.9,188
Adelie,17.9,190
Adelie,19.5,200
Adelie,18.1,187
Adelie,18.6,191
Adelie,17.5,186
Adelie,18.8,193
Adelie,16.6,181
Adelie,19.1,194
Adelie,16.9,185
Adelie,21.1,195
Adelie,17,185
Adelie,18.2,192
Adelie,17.1,184
Adelie,18,192
Adelie,16.2,195
Adelie,19.1,188
Adelie,16.6,190
Adelie,19.4,198
Adelie,19,190
Adelie,18.4,190
Adelie,17.2,196
Adelie,18.9,197
Adelie,17.5,190
Adelie,18.5,195
Adelie,16.8,191
Adelie,19.4,184
Adelie,16.1,187
Adelie,19.1,195
Adelie,17.2,189
Adelie,17.6,196
Adelie,18.8,187
Adelie,19.4,193
Adelie,17.8,191
Adelie,20.3,194
Adelie,19.5,190
Adelie,18.6,189
Adelie,19.2,189
Adelie,18.8,190
Adelie,18,202
Adelie,18.1,205
Adelie,17.1,185
Adelie,18.1,186
Adelie,17.3,187
Adelie,18.9,208
Adelie,18.6,190
Adelie,18.5,196
Adelie,16.1,178
Adelie,18.5,192
Adelie,17.9,192
Adelie,20,203
Adelie,16,183
Adelie,20,190
Adelie,18.6,193
Adelie,18.9,184
Adelie,17.2,199
Adelie,20,190
